Company,CIQ Ticker,Insider,Public Float,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Institution,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic,Strategic
SP_COMPANY_NAME,ciqticker,SHARES_OWNED_INSIDERS,SP_NO_FLOAT_SHARES,SHARES_OWNED_INSTN_BANKS/INVEST_BANKS,SHARES_OWNED_INSTN_CHARITABLE_FOUNDATIONS,SHARES_OWNED_INSTN_CORP_PENSION_SPONSORS,SHARES_OWNED_INSTN_EDUCATIONAL/CULTURAL_ENDOWMENTS,SHARES_OWNED_INSTN_FAMILY_OFFICES/TRUSTS,SHARES_OWNED_INSTN_GOVT_PENSION_SPONSORS,SHARES_OWNED_INSTN_INSURANCE_COMPANIES,SHARES_OWNED_INSTN_INVEST_MGRS,SHARES_OWNED_INSTN_REIT,SHARES_OWNED_INSTN_UNCLASSIFIED,SHARES_OWNED_INSTN_UNION_PENSION_SPONSORS,SHARES_OWNED_INSTN_HEDGE_FUND_MGRS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_SOVEREIGN_WEALTH_FUNDS_LESS5PCT_STAKE,SHARES_OWNED_INSTN_VC/PE_FIRMS_LESS5PCT_STAKE,SHARES_OWNED_STRATEGIC_HEDGE_FUND_MGRS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_VC/PE_FIRMS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_SOVEREIGN_WEALTH_FUNDS_MORE_EQUAL5SHARES_STAKE,SHARES_OWNED_STRATEGIC_COMPANY_CONTROLLED_FOUNDATIONS,SHARES_OWNED_STRATEGIC_ESOP,SHARES_OWNED_STRATEGIC_STATE_OWNER,SHARES_OWNED_STRATEGIC_CORPORATIONS_PRIVATE,SHARES_OWNED_STRATEGIC_CORPORATIONS_PUBLIC
Minth Group Limited,SEHK:425,"450,244,000","711,749,599","20,408,747",NA,NA,NA,NA,"642,901",NA,"390,649,681",NA,NA,NA,"5,291,700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fosun Tourism Group,SEHK:1992,"26,017,916","148,476,835",NA,NA,NA,NA,NA,NA,NA,"17,345,437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"987,339,132","81,542,487"
Silverlake Axis Ltd.,SGX:5CP,"1,958,070,394","542,363,227","24,785,520",NA,NA,NA,NA,NA,NA,"32,313,211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11,258,000",NA
Goldpac Group Limited,SEHK:3315,"364,605,426","300,398,393",NA,NA,NA,NA,NA,NA,NA,"8,767,816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"152,931,181"
Frasers Property (Thailand) Public Company Limited,SET:FPT,"20,308,200","352,631,709",NA,NA,NA,NA,NA,NA,NA,"19,048,942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,946,337,510",NA
Chinasoft International Limited,SEHK:354,"247,345,909","2,377,041,449","23,938,053",NA,NA,NA,"76,000","6,000,360",NA,"1,166,569,150",NA,NA,NA,"2,055,382",NA,"94,700,000",NA,NA,NA,NA,NA,NA,NA,NA
PT Surya Pertiwi Tbk,IDX:SPTO,NA,"1,080,000,000","57,109,341",NA,NA,NA,NA,NA,NA,"221,033,226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,620,000,000",NA
Sunteck Realty Limited,BSE:512179,"6,635,568","39,304,650","4,182,533",NA,NA,NA,NA,NA,NA,"25,231,688",NA,NA,NA,"6,380,234","2,285,440",NA,NA,NA,NA,NA,NA,"8,681","94,537,520",NA
Saigon Beer - Alcohol - Beverage Corporation,HOSE:SAB,"3,400","133,520,704","2,982,695",NA,NA,NA,NA,NA,NA,"34,997,465",NA,NA,NA,NA,NA,NA,NA,NA,"461,753,094",NA,NA,NA,NA,"687,285,174"
