SP_COMPANY_NAME,ciqticker,SHARES_OWNED_INSIDERS,SP_NO_FLOAT_SHARES,SHARES_OWNED_INSTN_BANKS/INVEST_BANKS,SHARES_OWNED_INSTN_CHARITABLE_FOUNDATIONS,SHARES_OWNED_INSTN_CORP_PENSION_SPONSORS,SHARES_OWNED_INSTN_EDUCATIONAL/CULTURAL_ENDOWMENTS,SHARES_OWNED_INSTN_FAMILY_OFFICES/TRUSTS,SHARES_OWNED_INSTN_GOVT_PENSION_SPONSORS,SHARES_OWNED_INSTN_INSURANCE_COMPANIES,SHARES_OWNED_INSTN_INVEST_MGRS
Minth Group Limited,SEHK:425,"450,244,000","711,749,599","20,408,747",NA,NA,NA,NA,"642,901",NA,"390,649,681"
Fosun Tourism Group,SEHK:1992,"26,017,916","148,476,835",NA,NA,NA,NA,NA,NA,NA,"17,345,437"
Silverlake Axis Ltd.,SGX:5CP,"1,958,070,394","542,363,227","24,785,520",NA,NA,NA,NA,NA,NA,"32,313,211"
Goldpac Group Limited,SEHK:3315,"364,605,426","300,398,393",NA,NA,NA,NA,NA,NA,NA,"8,767,816"
Frasers Property (Thailand) Public Company Limited,SET:FPT,"20,308,200","352,631,709",NA,NA,NA,NA,NA,NA,NA,"19,048,942"
Chinasoft International Limited,SEHK:354,"247,345,909","2,377,041,449","23,938,053",NA,NA,NA,"76,000","6,000,360",NA,"1,166,569,150"
PT Surya Pertiwi Tbk,IDX:SPTO,NA,"1,080,000,000","57,109,341",NA,NA,NA,NA,NA,NA,"221,033,226"
Sunteck Realty Limited,BSE:512179,"6,635,568","39,304,650","4,182,533",NA,NA,NA,NA,NA,NA,"25,231,688"
Saigon Beer - Alcohol - Beverage Corporation,HOSE:SAB,"3,400","133,520,704","2,982,695",NA,NA,NA,NA,NA,NA,"34,997,465"
PT Arwana Citramulia Tbk,IDX:ARNA,"2,744,425,100","3,426,720,576","154,218,436",NA,NA,NA,NA,NA,NA,"1,045,198,862"
