ciqticker,SP_COMPANY_NAME,ownership_score,insider_activity_score,final_score
SGX:8AZ,Aztech Global Ltd.,8.915041200012624,10.0,10.0
SGX:5CP,Silverlake Axis Ltd.,9.766180807240607,7.663471641943836,9.188948789111556
SEHK:6993,Blue Moon Group Holdings Limited,9.652670134675704,7.6488104615017605,9.118964459066529
NSEI:PDSL,PDS Limited,9.413537840169552,7.645357193942635,8.986508013743784
IDX:HEAL,PT Medikaloka Hermina Tbk,8.045342480001846,8.945873673162806,8.949554025561584
SEHK:2232,Crystal International Group Limited,9.290914570781734,7.648770080520809,8.921416821101904
SET:NSL,NSL Foods Public Company Limited,9.205831774257488,7.6275736709647095,8.863386303006443
IDX:CMRY,PT Cisarua Mountain Dairy Tbk,9.416568427126412,7.349364576148721,8.826545034542377
SET:SAPPE,Sappe Public Company Limited,9.018205681950704,7.64877008052081,8.772512452206469
SET:PRINC,Principal Capital Public Company Limited,8.872813984119137,7.724377987081116,8.734409141958976
SEHK:1286,Impro Precision Industries Limited,8.603234172790273,7.896103588863819,8.68097883618973
SET:SAK,Saksiam Leasing Public Company Limited,8.796990258999235,7.6747099573789,8.665888197762886
NSEI:KOLTEPATIL,Kolte-Patil Developers Limited,8.785898233394843,7.648847886018042,8.645710540517102
SET:SISB,SISB Public Company Limited,8.716823077823381,7.651875527942671,8.609647310679414
SEHK:1361,361 Degrees International Limited,8.256025551391694,7.648770080520809,8.356347244640206
SEHK:2128,China Lesso Group Holdings Limited,8.145016004605605,7.7175619659316625,8.333295578630098
NSEI:SIS,SIS Limited,8.07960687477258,7.648418944816569,8.259827481545567
PSE:UPSON,Upson International Corp.,10.0,5.675172812194697,8.230968709306673
SEHK:3306,JNBY Design Limited,7.72330086948126,7.646363085620377,8.064154918408956
SEHK:179,Johnson Electric Holdings Limited,7.476431260559125,7.6905689977978104,7.953496589701219
SET:PRTR,PRTR Group Public Company Limited,7.424056965369282,7.7075290227780755,7.934159707878064
NYSE:MNSO,MINISO Group Holding Limited,7.432110899201631,7.6138195396542505,7.887390108382017
SEHK:1999,Man Wah Holdings Limited,7.287215823831253,7.714268031628135,7.863121407502546
SET:SNNP,Srinanaporn Marketing Public Company Limited,7.216953192955794,7.72274082673901,7.829382952778474
SEHK:839,China Education Group Holdings Limited,7.036553358123834,7.834672579409716,7.791998045350614
SEHK:2138,EC Healthcare,7.21905264361765,7.648481644942568,7.789982333054203
SET:AUCT,Union Auction Public Company Limited,6.972599314754556,7.64877008052081,7.655571503117872
SET:MEGA,Mega Lifesciences Public Company Limited,6.956974404924514,7.64877008052081,7.6470399977926755
SET:TOG,Thai Optical Group Public Company Limited,6.581670613868767,7.692710356510284,7.466109059687141
NSEI:NEWGEN,Newgen Software Technologies Limited,6.607127262117304,7.646493472923521,7.454773566537613
KOSDAQ:A257720,"SILICON2 Co., Ltd.",6.433550537412532,7.647188876680885,7.3603769955280285
SEHK:6186,China Feihe Limited,6.387086487668208,7.688889718650387,7.357776191239368
NSEI:ROUTE,Route Mobile Limited,6.143139737860734,7.64877008052081,7.20267040645367
SEHK:3315,Goldpac Group Limited,6.072061314458651,7.64877008052081,7.163860201828006
SET:PSP,P.S.P. Specialties Public Company Limited,6.009204296489058,7.64877008052081,7.12953904481867
SET:EKH,Ekachai Medical Care Public Company Limited,5.9540400899547885,7.6759693132632,7.114269624039953
NasdaqGM:YI,"111, Inc.",5.965351514168335,7.648966947898206,7.1057020643261986
NSEI:MARKSANS,Marksans Pharma Limited,5.855466062472592,7.652301974176391,7.047523455186061
HOSE:TVS,Thien Viet Securities Joint Stock Company,5.809178941784011,7.6752519191773505,7.034780902376496
SET:BOL,Business Online Public Company Limited,5.787725792118901,7.671574662643404,7.021059210754354
SEHK:1268,China MeiDong Auto Holdings Limited,5.739172371776174,7.652242844882851,6.983992547542843
BSE:533552,Rupa & Company Limited,5.736477056402811,7.648248891852705,6.980340076608484
SET:MINT,Minor International Public Company Limited,5.142199720054484,8.159254907202008,6.934872312233075
SET:UTP,United Paper Public Company Limited,5.635821750646357,7.64764339346508,6.925049703788032
PSE:SM,SM Investments Corporation,5.617005705532193,7.647309529283263,6.914593480045764
SET:TOA,TOA Paint (Thailand) Public Company Limited,5.546300471585668,7.64877008052081,6.876784533581487
SET:ILM,Index Living Mall Public Company Limited,5.503721941857506,7.648798924078635,6.853551575561483
SEHK:2163,"Changsha Broad Homes Industrial Group Co., Ltd.",5.587800403858883,7.502173418967967,6.819399670867847
KOSDAQ:A129890,"Abko Co., Ltd.",5.415022758245897,7.640440039388497,6.8005559784299345
SEHK:2279,"Yonghe Medical Group Co., Ltd.",5.403959670182353,7.64877008052081,6.799063681533412
SEHK:777,NetDragon Websoft Holdings Limited,5.445213998142472,7.501496955332849,6.741175351747263
SHSE:603589,"Anhui Kouzi Distillery Co., Ltd.",5.262696079518361,7.64877008052081,6.721931007545811
IDX:GOOD,PT Garudafood Putra Putri Jaya Tbk,5.105001988087993,7.617892042345421,6.6189669491662855
SGX:I07,ISDN Holdings Limited,4.924382229351545,7.6667729053954075,6.547034944290095
SEHK:818,Hi Sun Technology (China) Limited,4.934193441125494,7.648770080520811,6.542562163867661
SET:SUSCO,Susco Public Company Limited,4.815208431332977,7.672255947479212,6.490417770427738
BSE:532482,Granules India Limited,4.812994737680421,7.654265636382177,6.479385990021555
SEHK:856,VSTECS Holdings Limited,4.771455315268174,7.64877008052081,6.453703975086639
IDX:ARNA,PT Arwana Citramulia Tbk,4.741328386160485,7.662868234714153,6.444951951553344
NSEI:HERITGFOOD,Heritage Foods Limited,4.69787579775697,7.701863615857749,6.442518229510328
SET:III,Triple i Logistics Public Company Limited,4.826107727890758,7.543753257885868,6.42620402552567
PSE:SSI,"SSI Group, Inc.",4.554645272764361,7.749183158374398,6.390148963598455
SET:SJWD,SCGJWD Logistics Public Company Limited,4.614108494902757,7.650043523598752,6.368484868932859
SET:SPALI,Supalai Public Company Limited,4.491711231695103,7.678090133920325,6.316967573390729
SET:SCC,The Siam Cement Public Company Limited,4.421714121137972,7.64877008052081,6.26273846599771
KOSDAQ:A084370,"Eugene Technology Co.,Ltd.",4.394758977858222,7.64877008052081,6.248020432362055
SET:RS,RS Public Company Limited,4.300497530503506,7.641511146350478,6.1925883252319585
SEHK:425,Minth Group Limited,4.279293335577682,7.649297917628995,6.185262150390466
SET:WHA,WHA Corporation Public Company Limited,4.214215318561294,7.6487700805208085,6.149440075260681
SET:TC,Tropical Canning (Thailand) Public Company Limited,4.061007898268562,7.6684223502087905,6.076516359796983
BSE:533080,Mold-Tek Packaging Limited,4.070680940520561,7.64507815703771,6.069051644919496
NSEI:TRIVENI,Triveni Engineering & Industries Limited,4.01471856877204,7.588290298433659,6.007487821439333
KOSDAQ:A243840,"Shin Heung Energy & Electronics Co.,Ltd.",3.873027197830732,7.64877181113428,5.963145655911646
NSEI:PERSISTENT,Persistent Systems Limited,3.8173776753272084,7.645607920895556,5.9310323861736824
IDX:MYOR,PT Mayora Indah Tbk,3.8006612257345864,7.6497059097544176,5.924142460656231
NSEI:AARTIPHARM,Aarti Pharmalabs Limited,3.7423324967886153,7.649609205958101,5.892241035560685
SEHK:3669,China Yongda Automobiles Services Holdings Limited,3.7813438915653346,7.570540582989859,5.870369008179667
